Date : 2023-10-31 22:54:29
Directory : d:\Coding\Learn
Total : 142 files,  1032 codes, 278 comments, 115 blanks, all 1425 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         38 |        802 |        177 |         43 |      1,022 |
| C        |         82 |        309 |         19 |         38 |        366 |
| Java     |         15 |        142 |         82 |         45 |        269 |
| HTML     |          7 |       -221 |          0 |        -11 |       -232 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |        142 |      1,032 |        278 |        115 |      1,425 |
| C                                                                                       |         40 |       -791 |        -44 |        -90 |       -925 |
| C (Files)                                                                               |          2 |        -29 |          0 |         -2 |        -31 |
| C&CPP                                                                                   |         83 |      1,913 |        277 |        173 |      2,363 |
| C&CPP (Files)                                                                           |          2 |         44 |          0 |          1 |         45 |
| C&CPP\BuildYourOwnLisp                                                                  |          4 |         95 |          6 |         22 |        123 |
| C&CPP\CourseWork                                                                        |          7 |        143 |         22 |         23 |        188 |
| C&CPP\CourseWork (Files)                                                                |          5 |         73 |          0 |          4 |         77 |
| C&CPP\CourseWork\DataStructures                                                         |          2 |         70 |         22 |         19 |        111 |
| C&CPP\PTA                                                                               |          3 |        107 |         28 |          5 |        140 |
| C&CPP\STL                                                                               |          1 |         10 |          0 |          1 |         11 |
| C&CPP\STL\vector                                                                        |          1 |         10 |          0 |          1 |         11 |
| C&CPP\TheCProgrammingLanguage                                                           |          8 |         94 |          6 |         11 |        111 |
| C&CPP\TheCProgrammingLanguage\charpter1                                                 |          8 |         94 |          6 |         11 |        111 |
| C&CPP\darkhouse                                                                         |         12 |        201 |          6 |         22 |        229 |
| C&CPP\darkhouse (Files)                                                                 |          7 |         77 |          1 |         14 |         92 |
| C&CPP\darkhouse\examples                                                                |          5 |        124 |          5 |          8 |        137 |
| C&CPP\games                                                                             |          1 |         34 |          0 |          2 |         36 |
| C&CPP\include                                                                           |          8 |        324 |          0 |         30 |        354 |
| C&CPP\luogu                                                                             |         28 |        659 |        192 |         36 |        887 |
| C&CPP\luogu\202310                                                                      |         28 |        659 |        192 |         36 |        887 |
| C&CPP\others                                                                            |          9 |        202 |         17 |         20 |        239 |
| C\BuildYourOwnLisp                                                                      |          4 |        -95 |         -6 |        -22 |       -123 |
| C\CourseWork                                                                            |          4 |        -56 |          0 |         -2 |        -58 |
| C\PTA                                                                                   |          1 |        -33 |         -6 |         -4 |        -43 |
| C\TheCProgrammingLanguage                                                               |          8 |        -94 |         -6 |        -11 |       -111 |
| C\TheCProgrammingLanguage\charpter1                                                     |          8 |        -94 |         -6 |        -11 |       -111 |
| C\darkhouse                                                                             |         12 |       -201 |         -6 |        -22 |       -229 |
| C\darkhouse (Files)                                                                     |          7 |        -77 |         -1 |        -14 |        -92 |
| C\darkhouse\examples                                                                    |          5 |       -124 |         -5 |         -8 |       -137 |
| C\games                                                                                 |          1 |        -34 |          0 |         -2 |        -36 |
| C\include                                                                               |          2 |        -95 |         -3 |        -12 |       -110 |
| C\luogu                                                                                 |          1 |        -24 |          0 |         -1 |        -25 |
| C\others                                                                                |          5 |       -130 |        -17 |        -12 |       -159 |
| Java                                                                                    |         18 |       -105 |         45 |         32 |        -28 |
| Java (Files)                                                                            |          1 |        -13 |          0 |          0 |        -13 |
| Java\JavaWeb                                                                            |          6 |       -236 |          0 |        -11 |       -247 |
| Java\JavaWeb\HTML                                                                       |          6 |       -236 |          0 |        -11 |       -247 |
| Java\JavaWeb\HTML (Files)                                                               |          4 |       -151 |          0 |         -8 |       -159 |
| Java\JavaWeb\HTML\XLNewsWebsite                                                         |          1 |        -61 |          0 |         -3 |        -64 |
| Java\JavaWeb\HTML\vue.js                                                                |          1 |        -24 |          0 |          0 |        -24 |
| Java\basic_syntax                                                                       |         10 |        184 |         51 |         46 |        281 |
| Java\basic_syntax\data types and operators                                              |          5 |        105 |         23 |         28 |        156 |
| Java\basic_syntax\flow control                                                          |          5 |         79 |         28 |         18 |        125 |
| Java\java_advanced                                                                      |          1 |        -40 |         -6 |         -3 |        -49 |
| Java\java_advanced\NetworkProgram                                                       |          1 |        -40 |         -6 |         -3 |        -49 |
| Java\java_advanced\NetworkProgram\BS                                                    |          1 |        -40 |         -6 |         -3 |        -49 |
| Web                                                                                     |          1 |         15 |          0 |          0 |         15 |
| Web\OnlineBookShop                                                                      |          1 |         15 |          0 |          0 |         15 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Coding\Learn\C&CPP\BuildYourOwnLisp\doge_code.c                                      | C        |         17 |          0 |          2 |         19 |
| d:\Coding\Learn\C&CPP\BuildYourOwnLisp\doge_grammar.c                                   | C        |         19 |          0 |          2 |         21 |
| d:\Coding\Learn\C&CPP\BuildYourOwnLisp\interactive.c                                    | C        |         12 |          0 |          3 |         15 |
| d:\Coding\Learn\C&CPP\BuildYourOwnLisp\parsing.c                                        | C        |         47 |          6 |         15 |         68 |
| d:\Coding\Learn\C&CPP\CourseWork\DataStructures\DelMaxElemsOfNode.c                     | C        |         36 |          0 |          7 |         43 |
| d:\Coding\Learn\C&CPP\CourseWork\DataStructures\TableBenchmarkDivision.c                | C        |         34 |         22 |         12 |         68 |
| d:\Coding\Learn\C&CPP\CourseWork\calCarSpeed.c                                          | C        |         20 |          0 |          0 |         20 |
| d:\Coding\Learn\C&CPP\CourseWork\calFractions.c                                         | C        |         10 |          0 |          1 |         11 |
| d:\Coding\Learn\C&CPP\CourseWork\formatInfo.c                                           | C        |         18 |          0 |          0 |         18 |
| d:\Coding\Learn\C&CPP\CourseWork\maze.cpp                                               | C++      |         17 |          0 |          2 |         19 |
| d:\Coding\Learn\C&CPP\CourseWork\processDate.c                                          | C        |          8 |          0 |          1 |          9 |
| d:\Coding\Learn\C&CPP\PTA\6-9.c                                                         | C        |         33 |          6 |          4 |         43 |
| d:\Coding\Learn\C&CPP\PTA\7-1.cpp                                                       | C++      |         50 |         14 |          1 |         65 |
| d:\Coding\Learn\C&CPP\PTA\7-2.cpp                                                       | C++      |         24 |          8 |          0 |         32 |
| d:\Coding\Learn\C&CPP\STL\vector\vector1.cpp                                            | C++      |         10 |          0 |          1 |         11 |
| d:\Coding\Learn\C&CPP\TheCProgrammingLanguage\charpter1\MultiplicationTable.c           | C        |         13 |          0 |          2 |         15 |
| d:\Coding\Learn\C&CPP\TheCProgrammingLanguage\charpter1\arr.c                           | C        |         23 |          0 |          2 |         25 |
| d:\Coding\Learn\C&CPP\TheCProgrammingLanguage\charpter1\const.c                         | C        |          9 |          0 |          2 |         11 |
| d:\Coding\Learn\C&CPP\TheCProgrammingLanguage\charpter1\countString.c                   | C        |          8 |          0 |          1 |          9 |
| d:\Coding\Learn\C&CPP\TheCProgrammingLanguage\charpter1\countWords.c                    | C        |         21 |          0 |          2 |         23 |
| d:\Coding\Learn\C&CPP\TheCProgrammingLanguage\charpter1\hello.c                         | C        |          5 |          0 |          1 |          6 |
| d:\Coding\Learn\C&CPP\TheCProgrammingLanguage\charpter1\output.c                        | C        |          7 |          6 |          0 |         13 |
| d:\Coding\Learn\C&CPP\TheCProgrammingLanguage\charpter1\printPrecision.c                | C        |          8 |          0 |          1 |          9 |
| d:\Coding\Learn\C&CPP\a.cpp                                                             | C++      |         13 |          0 |          0 |         13 |
| d:\Coding\Learn\C&CPP\darkhouse\array.c                                                 | C        |         20 |          1 |          3 |         24 |
| d:\Coding\Learn\C&CPP\darkhouse\char.c                                                  | C        |          7 |          0 |          1 |          8 |
| d:\Coding\Learn\C&CPP\darkhouse\examples\a.c                                            | C        |         33 |          0 |          6 |         39 |
| d:\Coding\Learn\C&CPP\darkhouse\examples\b.c                                            | C        |         18 |          0 |          0 |         18 |
| d:\Coding\Learn\C&CPP\darkhouse\examples\delStr.c                                       | C        |         23 |          0 |          0 |         23 |
| d:\Coding\Learn\C&CPP\darkhouse\examples\nameLists.c                                    | C        |         30 |          0 |          1 |         31 |
| d:\Coding\Learn\C&CPP\darkhouse\examples\replaceStr.c                                   | C        |         20 |          5 |          1 |         26 |
| d:\Coding\Learn\C&CPP\darkhouse\floatNum.c                                              | C        |         10 |          0 |          1 |         11 |
| d:\Coding\Learn\C&CPP\darkhouse\integer.c                                               | C        |         19 |          0 |          2 |         21 |
| d:\Coding\Learn\C&CPP\darkhouse\randomNum.c                                             | C        |          4 |          0 |          2 |          6 |
| d:\Coding\Learn\C&CPP\darkhouse\typeConvert.c                                           | C        |          7 |          0 |          1 |          8 |
| d:\Coding\Learn\C&CPP\darkhouse\variable.c                                              | C        |         10 |          0 |          4 |         14 |
| d:\Coding\Learn\C&CPP\games\ball.c                                                      | C        |         34 |          0 |          2 |         36 |
| d:\Coding\Learn\C&CPP\include\LinkList.c                                                | C        |         89 |          0 |          8 |         97 |
| d:\Coding\Learn\C&CPP\include\LinkList.h                                                | C++      |         16 |          0 |          1 |         17 |
| d:\Coding\Learn\C&CPP\include\SeqList.c                                                 | C        |         84 |          0 |          7 |         91 |
| d:\Coding\Learn\C&CPP\include\SeqList.h                                                 | C++      |         22 |          0 |          5 |         27 |
| d:\Coding\Learn\C&CPP\include\SqStack.c                                                 | C        |         48 |          0 |          5 |         53 |
| d:\Coding\Learn\C&CPP\include\SqStack.h                                                 | C++      |         16 |          0 |          2 |         18 |
| d:\Coding\Learn\C&CPP\include\Sqqueue.c                                                 | C        |         34 |          0 |          0 |         34 |
| d:\Coding\Learn\C&CPP\include\Sqqueue.h                                                 | C++      |         15 |          0 |          2 |         17 |
| d:\Coding\Learn\C&CPP\luogu\202310\1009.cpp                                             | C++      |         12 |          9 |          0 |         21 |
| d:\Coding\Learn\C&CPP\luogu\202310\1423.cpp                                             | C++      |         14 |          0 |          1 |         15 |
| d:\Coding\Learn\C&CPP\luogu\202310\2141.cpp                                             | C++      |         26 |          9 |          0 |         35 |
| d:\Coding\Learn\C&CPP\luogu\202310\5722.cpp                                             | C++      |         11 |          0 |          0 |         11 |
| d:\Coding\Learn\C&CPP\luogu\202310\5723.cpp                                             | C++      |         26 |          0 |          3 |         29 |
| d:\Coding\Learn\C&CPP\luogu\202310\P1003.java                                           | Java     |         24 |          0 |          1 |         25 |
| d:\Coding\Learn\C&CPP\luogu\202310\P1014.cpp                                            | C++      |         30 |          0 |          2 |         32 |
| d:\Coding\Learn\C&CPP\luogu\202310\P1075.cpp                                            | C++      |         12 |         22 |          0 |         34 |
| d:\Coding\Learn\C&CPP\luogu\202310\P1102.cpp                                            | C++      |         19 |         45 |          3 |         67 |
| d:\Coding\Learn\C&CPP\luogu\202310\P1102.java                                           | Java     |         11 |         37 |          2 |         50 |
| d:\Coding\Learn\C&CPP\luogu\202310\P1208.cpp                                            | C++      |         23 |         43 |          3 |         69 |
| d:\Coding\Learn\C&CPP\luogu\202310\P1420.cpp                                            | C++      |         21 |          0 |          0 |         21 |
| d:\Coding\Learn\C&CPP\luogu\202310\P1427.cpp                                            | C++      |         18 |          0 |          0 |         18 |
| d:\Coding\Learn\C&CPP\luogu\202310\P1720.cpp                                            | C++      |         17 |          0 |          0 |         17 |
| d:\Coding\Learn\C&CPP\luogu\202310\P2141.cpp                                            | C++      |         10 |          0 |          1 |         11 |
| d:\Coding\Learn\C&CPP\luogu\202310\P2240.cpp                                            | C++      |         30 |          6 |          1 |         37 |
| d:\Coding\Learn\C&CPP\luogu\202310\P2669.cpp                                            | C++      |         15 |          0 |          0 |         15 |
| d:\Coding\Learn\C&CPP\luogu\202310\P2695.cpp                                            | C++      |         32 |         16 |          8 |         56 |
| d:\Coding\Learn\C&CPP\luogu\202310\P3613.cpp                                            | C++      |         22 |          0 |          0 |         22 |
| d:\Coding\Learn\C&CPP\luogu\202310\P4956.cpp                                            | C++      |         14 |          0 |          0 |         14 |
| d:\Coding\Learn\C&CPP\luogu\202310\P5594.cpp                                            | C++      |         19 |          0 |          1 |         20 |
| d:\Coding\Learn\C&CPP\luogu\202310\P5725.cpp                                            | C++      |         24 |          0 |          0 |         24 |
| d:\Coding\Learn\C&CPP\luogu\202310\P5726.cpp                                            | C++      |         18 |          0 |          0 |         18 |
| d:\Coding\Learn\C&CPP\luogu\202310\P5727.cpp                                            | C++      |         24 |          0 |          0 |         24 |
| d:\Coding\Learn\C&CPP\luogu\202310\P5728.cpp                                            | C++      |         25 |          3 |          2 |         30 |
| d:\Coding\Learn\C&CPP\luogu\202310\P5729.cpp                                            | C++      |         40 |          2 |          4 |         46 |
| d:\Coding\Learn\C&CPP\luogu\202310\P5730.cpp                                            | C++      |         98 |          0 |          3 |        101 |
| d:\Coding\Learn\C&CPP\luogu\202310\p1428.cpp                                            | C++      |         24 |          0 |          1 |         25 |
| d:\Coding\Learn\C&CPP\others\dataTable.c                                                | C        |         20 |          0 |          3 |         23 |
| d:\Coding\Learn\C&CPP\others\functionPointer.c                                          | C        |         40 |         11 |          5 |         56 |
| d:\Coding\Learn\C&CPP\others\maxmin.c                                                   | C        |         24 |          0 |          2 |         26 |
| d:\Coding\Learn\C&CPP\others\pointerInArray.c                                           | C        |         31 |          6 |          1 |         38 |
| d:\Coding\Learn\C&CPP\others\square.c                                                   | C        |         16 |          0 |          0 |         16 |
| d:\Coding\Learn\C&CPP\others\structPointer.c                                            | C        |         15 |          0 |          1 |         16 |
| d:\Coding\Learn\C&CPP\others\testLinkList.c                                             | C        |         24 |          0 |          8 |         32 |
| d:\Coding\Learn\C&CPP\others\testSeqLIst.c                                              | C        |         26 |          0 |          0 |         26 |
| d:\Coding\Learn\C&CPP\others\testSqqueue.c                                              | C        |          6 |          0 |          0 |          6 |
| d:\Coding\Learn\C&CPP\test.cpp                                                          | C++      |         31 |          0 |          1 |         32 |
| d:\Coding\Learn\C\BuildYourOwnLisp\doge_code.c                                          | C        |        -17 |          0 |         -2 |        -19 |
| d:\Coding\Learn\C\BuildYourOwnLisp\doge_grammar.c                                       | C        |        -19 |          0 |         -2 |        -21 |
| d:\Coding\Learn\C\BuildYourOwnLisp\interactive.c                                        | C        |        -12 |          0 |         -3 |        -15 |
| d:\Coding\Learn\C\BuildYourOwnLisp\parsing.c                                            | C        |        -47 |         -6 |        -15 |        -68 |
| d:\Coding\Learn\C\CourseWork\calCarSpeed.c                                              | C        |        -20 |          0 |          0 |        -20 |
| d:\Coding\Learn\C\CourseWork\calFractions.c                                             | C        |        -10 |          0 |         -1 |        -11 |
| d:\Coding\Learn\C\CourseWork\formatInfo.c                                               | C        |        -18 |          0 |          0 |        -18 |
| d:\Coding\Learn\C\CourseWork\processDate.c                                              | C        |         -8 |          0 |         -1 |         -9 |
| d:\Coding\Learn\C\PTA\6-9.c                                                             | C        |        -33 |         -6 |         -4 |        -43 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\MultiplicationTable.c               | C        |        -13 |          0 |         -2 |        -15 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\arr.c                               | C        |        -23 |          0 |         -2 |        -25 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\const.c                             | C        |         -9 |          0 |         -2 |        -11 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\countString.c                       | C        |         -8 |          0 |         -1 |         -9 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\countWords.c                        | C        |        -21 |          0 |         -2 |        -23 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\hello.c                             | C        |         -5 |          0 |         -1 |         -6 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\output.c                            | C        |         -7 |         -6 |          0 |        -13 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\printPrecision.c                    | C        |         -8 |          0 |         -1 |         -9 |
| d:\Coding\Learn\C\darkhouse\array.c                                                     | C        |        -20 |         -1 |         -3 |        -24 |
| d:\Coding\Learn\C\darkhouse\char.c                                                      | C        |         -7 |          0 |         -1 |         -8 |
| d:\Coding\Learn\C\darkhouse\examples\a.c                                                | C        |        -33 |          0 |         -6 |        -39 |
| d:\Coding\Learn\C\darkhouse\examples\b.c                                                | C        |        -18 |          0 |          0 |        -18 |
| d:\Coding\Learn\C\darkhouse\examples\delStr.c                                           | C        |        -23 |          0 |          0 |        -23 |
| d:\Coding\Learn\C\darkhouse\examples\nameLists.c                                        | C        |        -30 |          0 |         -1 |        -31 |
| d:\Coding\Learn\C\darkhouse\examples\replaceStr.c                                       | C        |        -20 |         -5 |         -1 |        -26 |
| d:\Coding\Learn\C\darkhouse\floatNum.c                                                  | C        |        -10 |          0 |         -1 |        -11 |
| d:\Coding\Learn\C\darkhouse\integer.c                                                   | C        |        -19 |          0 |         -2 |        -21 |
